Mon Aug 19 23:04:34 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 545.23.08              Driver Version: 545.23.08    CUDA Version: 12.3     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Tesla V100-SXM2-32GB           On  | 00000000:89:00.0 Off |                    0 |
| N/A   31C    P0              57W / 300W |    393MiB / 32768MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|    0   N/A  N/A      3281      C   julia                                       390MiB |
+---------------------------------------------------------------------------------------+
i:      0, sim time:  0 seconds, wall time:  0 seconds, progress        0.0, Δt: 1.778 seconds, CFL: 7.50e-01
i:  12500, sim time: 6.162 hours, wall time: 5.958 minutes, progress 1.2837136300176473, Δt: 1.777 seconds, CFL: 7.50e-01
i:  12600, sim time: 6.211 hours, wall time: 5.968 minutes, progress 1.2939797193831875, Δt: 1.777 seconds, CFL: 7.50e-01
i:  12700, sim time: 6.260 hours, wall time: 5.979 minutes, progress 1.30424329550618, Δt: 1.777 seconds, CFL: 7.50e-01
i:  12800, sim time: 6.310 hours, wall time: 5.989 minutes, progress 1.3145255358727386, Δt: 1.777 seconds, CFL: 7.50e-01
i:  12900, sim time: 6.359 hours, wall time: 6.000 minutes, progress 1.324689263160362, Δt: 1.777 seconds, CFL: 7.50e-01
i:  13000, sim time: 6.408 hours, wall time: 6.010 minutes, progress 1.334974381858043, Δt: 1.777 seconds, CFL: 7.50e-01
i:  13100, sim time: 6.457 hours, wall time: 6.021 minutes, progress 1.3452357743218706, Δt: 1.776 seconds, CFL: 7.50e-01
i:  13200, sim time: 6.506 hours, wall time: 6.031 minutes, progress 1.3555033143117017, Δt: 1.777 seconds, CFL: 7.50e-01
i:  13300, sim time: 6.556 hours, wall time: 6.041 minutes, progress 1.3657861460658685, Δt: 1.777 seconds, CFL: 7.50e-01
i:  13400, sim time: 6.605 hours, wall time: 6.052 minutes, progress 1.376053551080527, Δt: 1.777 seconds, CFL: 7.50e-01
i:  13500, sim time: 6.654 hours, wall time: 6.062 minutes, progress 1.386335706804718, Δt: 1.776 seconds, CFL: 7.50e-01
i:  13600, sim time: 6.704 hours, wall time: 6.073 minutes, progress 1.3966018227710424, Δt: 1.777 seconds, CFL: 7.50e-01
i:  13700, sim time: 6.753 hours, wall time: 6.083 minutes, progress 1.406867329925868, Δt: 1.778 seconds, CFL: 7.50e-01
i:  13800, sim time: 6.802 hours, wall time: 6.093 minutes, progress 1.4171539616227853, Δt: 1.777 seconds, CFL: 7.50e-01
i:  13900, sim time: 6.852 hours, wall time: 6.104 minutes, progress 1.4274155383559735, Δt: 1.777 seconds, CFL: 7.50e-01
i:  14000, sim time: 6.901 hours, wall time: 6.114 minutes, progress 1.4377004832772242, Δt: 1.777 seconds, CFL: 7.50e-01
i:  14100, sim time: 6.950 hours, wall time: 6.125 minutes, progress 1.4479628409952283, Δt: 1.777 seconds, CFL: 7.50e-01
i:  14200, sim time: 7.000 hours, wall time: 6.135 minutes, progress 1.4582448218180788, Δt: 1.776 seconds, CFL: 7.50e-01
i:  14300, sim time: 7.049 hours, wall time: 6.146 minutes, progress 1.468508408021584, Δt: 1.776 seconds, CFL: 7.50e-01
i:  14400, sim time: 7.098 hours, wall time: 6.156 minutes, progress 1.4787786817974018, Δt: 1.777 seconds, CFL: 7.50e-01
i:  14500, sim time: 7.147 hours, wall time: 6.167 minutes, progress 1.4890601618688268, Δt: 1.776 seconds, CFL: 7.50e-01
i:  14600, sim time: 7.197 hours, wall time: 6.177 minutes, progress 1.4993216072249418, Δt: 1.775 seconds, CFL: 7.50e-01
i:  14700, sim time: 7.246 hours, wall time: 6.187 minutes, progress 1.5095979746483568, Δt: 1.775 seconds, CFL: 7.50e-01
i:  14800, sim time: 7.295 hours, wall time: 6.198 minutes, progress 1.5198655943506183, Δt: 1.775 seconds, CFL: 7.50e-01
i:  14900, sim time: 7.344 hours, wall time: 6.208 minutes, progress 1.5300387720365527, Δt: 1.776 seconds, CFL: 7.50e-01
i:  15000, sim time: 7.394 hours, wall time: 6.219 minutes, progress 1.5403184321459156, Δt: 1.777 seconds, CFL: 7.50e-01
i:  15100, sim time: 7.442 hours, wall time: 6.229 minutes, progress 1.5504830538328236, Δt: 1.776 seconds, CFL: 7.50e-01
i:  15200, sim time: 7.492 hours, wall time: 6.240 minutes, progress 1.5607597833738034, Δt: 1.776 seconds, CFL: 7.50e-01
i:  15300, sim time: 7.541 hours, wall time: 6.250 minutes, progress 1.5710279964878633, Δt: 1.776 seconds, CFL: 7.50e-01
i:  15400, sim time: 7.590 hours, wall time: 6.261 minutes, progress 1.5813006215659255, Δt: 1.777 seconds, CFL: 7.50e-01
i:  15500, sim time: 7.640 hours, wall time: 6.271 minutes, progress 1.59158210866298, Δt: 1.776 seconds, CFL: 7.50e-01
i:  15600, sim time: 7.688 hours, wall time: 6.281 minutes, progress 1.6017422409497872, Δt: 1.775 seconds, CFL: 7.50e-01
i:  15700, sim time: 7.738 hours, wall time: 6.292 minutes, progress 1.6120150590058533, Δt: 1.776 seconds, CFL: 7.50e-01
i:  15800, sim time: 7.787 hours, wall time: 6.302 minutes, progress 1.6222861148063248, Δt: 1.774 seconds, CFL: 7.50e-01
i:  15900, sim time: 7.836 hours, wall time: 6.313 minutes, progress 1.6324579360349492, Δt: 1.775 seconds, CFL: 7.50e-01
i:  16000, sim time: 7.885 hours, wall time: 6.323 minutes, progress 1.6427345037510273, Δt: 1.777 seconds, CFL: 7.50e-01
i:  16100, sim time: 7.934 hours, wall time: 6.334 minutes, progress 1.653005364422074, Δt: 1.775 seconds, CFL: 7.50e-01
i:  16200, sim time: 7.984 hours, wall time: 6.344 minutes, progress 1.6632762021733902, Δt: 1.775 seconds, CFL: 7.50e-01
i:  16300, sim time: 8.033 hours, wall time: 6.354 minutes, progress 1.6734415999635839, Δt: 1.774 seconds, CFL: 7.50e-01
i:  16400, sim time: 8.082 hours, wall time: 6.365 minutes, progress 1.683709149347928, Δt: 1.775 seconds, CFL: 7.50e-01
i:  16500, sim time: 8.130 hours, wall time: 6.375 minutes, progress 1.6937910002493914, Δt: 1.776 seconds, CFL: 7.50e-01
